Family,Group/Tag,Weight
ABeeZee,/Expressive/Calm,93
ABeeZee,/Sans/Geometric,10
ABeeZee,/Sans/Humanist,75
Abel,/Expressive/Calm,100
Abel,/Expressive/Competent,19
Abel,/Sans/Geometric,40
Abel,/Sans/Humanist,10
Abel,/Sans/Neo Grotesque,40
Abhaya Libre,/Expressive/Business,20
Abhaya Libre,/Expressive/Sincere,97
Abhaya Libre,/Expressive/Vintage,20
Abhaya Libre,/Serif/Modern,70
Abhaya Libre,/Serif/Transitional,10
Abhaya Libre,/Sinhala/Traditional,100
Aboreto,/Expressive/Competent,32
Aboreto,/Expressive/Loud,53
Aboreto,/Expressive/Vintage,100
Aboreto,/Sans/Glyphic,50
Aboreto,/Sans/Humanist,70
Abril Fatface,/Expressive/Business,30
Abril Fatface,/Expressive/Loud,99
Abril Fatface,/Expressive/Sincere,97
Abril Fatface,/Expressive/Vintage,100
Abril Fatface,/Serif/Fat Face,90
Abril Fatface,/Serif/Modern,90
Abyssinica SIL,/Expressive/Business,48
Abyssinica SIL,/Expressive/Sincere,98
Abyssinica SIL,/Expressive/Vintage,40
Abyssinica SIL,/Sans/Humanist,50
Abyssinica SIL,/Serif/Old Style Garalde,10
Aclonica,/Expressive/Artistic,1
Aclonica,/Expressive/Calm,18
Aclonica,/Expressive/Loud,57
Aclonica,/Sans/Humanist,10
Aclonica,/Theme/Techno,20
Acme,/Expressive/Calm,64
Acme,/Expressive/Competent,14
Acme,/Expressive/Cute,14
Acme,/Expressive/Excited,11
Acme,/Expressive/Loud,47
Acme,/Sans/Glyphic,50
Acme,/Sans/Humanist,50
Acme,/Theme/Wacky,20
Actor,/Expressive/Calm,98
Actor,/Expressive/Vintage,52
Actor,/Sans/Humanist,70
Adamina,/Expressive/Business,46
Adamina,/Expressive/Sincere,100
Adamina,/Expressive/Vintage,44
Adamina,/Serif/Old Style Garalde,80
ADLaM Display,/Expressive/Artistic,31
ADLaM Display,/Expressive/Calm,78
ADLaM Display,/Sans/Humanist,70
ADLaM Display,/Sans/Rounded,20
ADLaM Display,/Theme/Wacky,20
Adobe Blank,/Monospace/Monospace,100
Advent Pro,/Expressive/Calm,54
Advent Pro,/Expressive/Competent,27
Advent Pro,/Expressive/Playful,31
Advent Pro,/Sans/Humanist,40
Advent Pro,/Theme/Wacky,10
Agdasima,/Expressive/Business,27
Agdasima,/Expressive/Calm,99
Agdasima,/Expressive/Competent,68
Agdasima,/Sans/Humanist,60
Agdasima,/Theme/Techno,30
Aguafina Script,/Expressive/Artistic,79
Aguafina Script,/Expressive/Fancy,66
Aguafina Script,/Expressive/Loud,65
Aguafina Script,/Expressive/Sophisticated,79
Aguafina Script,/Expressive/Vintage,36
Aguafina Script,/Script/Formal,50
Aguafina Script,/Script/Handwritten,10
Aguafina Script,/Script/Informal,20
Akatab,/Expressive/Calm,98
Akatab,/Sans/Humanist,90
Akaya Kanadaka,/Expressive/Artistic,42
Akaya Kanadaka,/Expressive/Awkward,47
Akaya Kanadaka,/Expressive/Childlike,40
Akaya Kanadaka,/Expressive/Cute,60
Akaya Kanadaka,/Expressive/Loud,48
Akaya Kanadaka,/Expressive/Playful,14
Akaya Kanadaka,/Indic/Sign Painting,100
Akaya Kanadaka,/Sans/Humanist,50
Akaya Kanadaka,/Sans/Rounded,50
Akaya Kanadaka,/Script/Upright Script,50
